First Period,last Period,Estimated Volatility,Avg Abs Err,Avg Perc Err
2013/4/11,2018/9/11,0.052701855,0.397024123,0.219934383
2013/4/11,2018/4/19,0.053421834,0.393952476,0.220048414
2014/11/10,2018/4/19,0.053449817,0.393856152,0.220067184
2014/11/10,2018/9/11,0.052443756,0.398385549,0.220067795
2013/9/3,2018/4/19,0.05240894,0.398578539,0.220091956
2014/1/27,2018/4/19,0.052065982,0.400580616,0.22039966
2015/4/7,2018/4/19,0.051941479,0.401345185,0.22054167
2013/9/3,2018/9/11,0.0517133,0.402799521,0.220843434
2014/6/19,2018/4/19,0.051606245,0.403503663,0.22100046
2014/1/27,2018/9/11,0.051341649,0.405284598,0.221430887
2015/4/7,2018/9/11,0.051002122,0.407668553,0.222089813
2014/6/19,2018/9/11,0.050861369,0.408687616,0.222389984
2018/1/16,2018/9/11,0.055183579,0.390077444,0.222944693
2015/8/27,2018/4/19,0.048999368,0.424467947,0.227803917
2015/8/27,2018/9/11,0.048301042,0.431346809,0.230381428
2016/6/14,2019/2/5,0.058887455,0.394365915,0.239208161
2012/11/14,2018/9/11,0.05890825,0.394443917,0.239336559
2012/6/21,2018/9/11,0.059245188,0.395776951,0.241462787
2017/8/22,2018/4/19,0.045308443,0.469827863,0.245249634
2012/11/14,2018/4/19,0.060020437,0.399373544,0.246655927
2012/6/21,2018/4/19,0.06029987,0.400878968,0.248643995
2013/9/3,2019/2/5,0.060340109,0.401102507,0.248933904
2017/8/22,2018/9/11,0.044646474,0.480506145,0.249668807
2016/1/21,2019/2/5,0.060660224,0.402937511,0.251277832
2013/4/11,2019/2/5,0.060674992,0.403024197,0.251387545
2014/1/27,2019/2/5,0.060676032,0.403030311,0.251395283
2016/1/21,2018/4/19,0.044372768,0.485271105,0.251698323
2016/1/21,2018/9/11,0.044234329,0.487737425,0.252761662
2014/6/19,2019/2/5,0.061029091,0.405160797,0.254064835
2010/6/29,2018/9/11,0.061030707,0.405170785,0.254077236
2012/1/30,2018/9/11,0.061120186,0.405726102,0.254766162
2010/11/18,2018/9/11,0.061551416,0.40848747,0.258137553
2011/9/6,2018/9/11,0.061840012,0.410410996,0.260443444
2010/6/29,2018/4/19,0.061916832,0.410929603,0.261062704
2016/11/3,2019/2/5,0.062026857,0.411676895,0.261957
2012/1/30,2018/4/19,0.062232586,0.413095893,0.263650571
2015/8/27,2019/2/5,0.062294723,0.413531138,0.264166831
2010/2/4,2018/9/11,0.062444699,0.41459942,0.265421145
2010/11/18,2018/4/19,0.062511222,0.415087959,0.265983766
2017/3/30,2018/9/11,0.042567677,0.519962911,0.267049783
2011/4/13,2018/9/11,0.062674719,0.4163101,0.267378108
2011/9/6,2018/4/19,0.06293135,0.418302547,0.269622619
2017/3/30,2018/4/19,0.04219926,0.527734091,0.270635722
2015/4/7,2019/2/5,0.063233599,0.420735212,0.272324411
2010/2/4,2018/4/19,0.063359158,0.421777877,0.273462342
2014/11/10,2019/2/5,0.063403814,0.422154128,0.273869914
2011/4/13,2018/4/19,0.063752458,0.425194274,0.277096627
2012/6/21,2019/2/5,0.065840817,0.446432705,0.298079383
2012/11/14,2019/2/5,0.065955204,0.447763143,0.299319004
2010/6/29,2019/2/5,0.066038532,0.448743064,0.300227651
2016/6/14,2018/9/11,0.039190331,0.598644916,0.305676569
2010/11/18,2019/2/5,0.06677251,0.457627205,0.308361825
2016/11/3,2018/9/11,0.038765263,0.609654982,0.311571553
2010/2/4,2019/2/5,0.067175742,0.462759008,0.312929295
2012/1/30,2019/2/5,0.067245171,0.463667492,0.313726286
2011/9/6,2019/2/5,0.067602978,0.468409158,0.317870796
2016/6/14,2018/4/19,0.038288903,0.622247405,0.31841823
2011/4/13,2019/2/5,0.068103934,0.475185344,0.323736028
2016/11/3,2018/4/19,0.037503161,0.643573791,0.330166464
2017/3/30,2019/2/5,0.069884203,0.500615975,0.345363976
2018/6/8,2018/9/11,0.034942273,0.717113588,0.370080719
2018/1/16,2018/4/19,0.07326436,0.554604312,0.389032027
2017/8/22,2019/2/5,0.078857764,0.655238608,0.466413952
2018/1/16,2019/2/5,0.098287263,1.060364436,0.772533744
2018/6/8,2019/2/5,0.11653179,1.450462936,1.081211429
2018/10/30,2019/2/5,0.212995525,3.287027344,2.723146666
